Player,Team,Season,SeasonType,Games,Min,Pts,OReb,Dreb,Reb,Ast,Stl,Blk,TO,PF,FGM,FGA,FGPer,3PTM,3PTA,3PTPer,FTM,FTA,FTPer
Gary Payton,"SuperSonics, Rockets",1996-1997,POFF,12,47.27,23.75,1.67,3.75,5.42,8.67,2.17,0.33,2.92,2.17,8.75,21.25,0.412,2.08,6.25,0.333,4.17,5.08,0.82
Stephen Curry,Warriors,2014-2015,REG,80,32.67,23.75,0.7,3.58,4.28,7.74,2.04,0.2,3.11,1.98,8.16,16.76,0.487,3.58,8.08,0.443,3.85,4.21,0.914
Chris Paul,Clippers,2015-2016,POFF,4,31.32,23.75,1,3,4,7.25,2.25,0,1,3,9.25,19,0.487,1.5,5,0.3,3.75,3.75,1
Chris Webber,Kings,2002-2003,POFF,7,35.06,23.71,2.57,5.71,8.29,3.57,1.43,1.14,3.29,3.57,9.57,19.29,0.496,0,0.43,0,4.57,7,0.653
Dirk Nowitzki,Mavericks,2004-2005,POFF,13,42.56,23.69,1.92,8.15,10.08,3.31,1.38,1.62,2.54,3.23,7.92,19.69,0.402,0.77,2.31,0.333,7.08,8.54,0.829
Chris Webber,Kings,2001-2002,POFF,16,41.57,23.69,3.06,7.75,10.81,4.69,0.88,1.56,2.88,4,10,19.94,0.502,0,0.25,0,3.69,6.19,0.596
LeBron James,Heat,2010-2011,POFF,21,43.89,23.67,1.62,6.76,8.38,5.86,1.67,1.19,3.14,2.67,8.29,17.76,0.466,1.43,4.05,0.353,5.67,7.43,0.763
Kevin Martin,Kings,2007-2008,REG,61,36.33,23.66,0.79,3.69,4.48,2.11,1.02,0.08,2.15,2.46,6.84,14.98,0.456,1.75,4.36,0.402,8.23,9.48,0.869
Jerry Stackhouse,Pistons,1999-2000,REG,82,38.38,23.65,1.44,2.4,3.84,4.45,1.26,0.44,3.79,2.29,7.55,17.65,0.428,1.01,3.51,0.288,7.54,9.24,0.815
Zach Randolph,Trail Blazers,2006-2007,REG,68,35.66,23.65,2.93,7.19,10.12,2.16,0.78,0.22,3.16,2.71,8.82,18.91,0.467,0.21,0.71,0.292,5.79,7.07,0.819
Russell Westbrook,Thunder,2011-2012,REG,66,35.32,23.61,1.45,3.11,4.56,5.48,1.7,0.32,3.62,2.23,8.76,19.18,0.457,0.94,2.97,0.316,5.15,6.26,0.823
Gilbert Arenas,Wizards,2004-2005,POFF,10,45.11,23.6,0.8,4.4,5.2,6.2,2.1,0.6,3.9,3.4,7.3,19.4,0.376,1.8,7.7,0.234,7.2,9.4,0.766
Grant Hill,Pistons,1996-1997,POFF,5,42.47,23.6,2.6,4.2,6.8,5.4,0.8,1,3.8,2.8,9,20.6,0.437,0,0,0,5.6,7.8,0.718
Reggie Miller,Pacers,2001-2002,POFF,5,39.57,23.6,0,3.2,3.2,2.8,1.6,0.2,2.8,2,8.4,16.6,0.506,2.6,6.2,0.419,4.2,4.8,0.875
