Player,Team,Season,SeasonType,Games,Min,Pts,OReb,Dreb,Reb,Ast,Stl,Blk,TO,PF,FGM,FGA,FGPer,3PTM,3PTA,3PTPer,FTM,FTA,FTPer
Tim Duncan,Spurs,1997-1998,POFF,9,41.53,20.67,2.22,6.78,9,1.89,0.56,2.56,2.78,2.67,8.11,15.56,0.521,0,0.11,0,4.44,6.67,0.667
Dwight Howard,Magic,2007-2008,REG,82,37.66,20.67,3.4,10.76,14.16,1.34,0.9,2.15,3.21,3.34,7.11,11.88,0.599,0,0.05,0,6.45,10.94,0.59
Corey Maggette,Clippers,2003-2004,REG,73,35.69,20.66,1.32,4.58,5.89,3.07,0.89,0.22,2.84,2.97,6.21,13.88,0.447,1.04,3.16,0.329,7.21,8.49,0.848
Tom Gugliotta,Timberwolves,1996-1997,REG,81,38.63,20.64,2.31,6.36,8.67,4.14,1.6,1.1,3.62,2.93,7.31,16.53,0.442,0.3,1.15,0.258,5.73,6.99,0.82
Michael Finley,Mavericks,2001-2002,REG,69,39.9,20.64,1.3,3.91,5.22,3.33,0.94,0.36,1.7,2.09,8.25,17.8,0.463,1.1,3.25,0.339,3.04,3.64,0.837
Chauncey Billups,"Pistons, Nuggets",2008-2009,POFF,16,38.71,20.63,0.31,3.5,3.81,6.81,1.25,0.25,1.94,2.38,5.63,12.31,0.457,2.75,5.88,0.468,6.63,7.31,0.906
Dwight Howard,Magic,2011-2012,REG,54,38.33,20.61,3.7,10.83,14.54,1.93,1.5,2.15,3.24,2.94,7.7,13.44,0.573,0,0.13,0,5.2,10.59,0.491
Manu Ginobili,Spurs,2010-2011,POFF,5,34.87,20.6,0.4,3.6,4,4.2,2.6,0.6,3.4,2.6,6.2,14,0.443,1.8,5.6,0.321,6.4,8.2,0.78
Amar'e Stoudemire,Suns,2003-2004,REG,55,36.77,20.6,2.85,6.16,9.02,1.42,1.16,1.62,3.22,3.42,7.47,15.73,0.475,0.02,0.09,0.2,5.64,7.91,0.713
Carlos Boozer,Jazz,2008-2009,POFF,5,37.11,20.6,2.4,10.8,13.2,2.2,1.6,0.4,3,3.6,7.6,14.4,0.528,0,0,0,5.4,7,0.771
David West,Hornets,2007-2008,REG,76,37.76,20.58,2.37,6.51,8.88,2.33,0.82,1.3,2.17,2.74,8.28,17.17,0.482,0.08,0.33,0.24,3.95,4.64,0.85
Ricky Davis,Cavaliers,2002-2003,REG,79,39.69,20.58,1.23,3.71,4.94,5.52,1.58,0.46,3.51,2.28,7.62,18.61,0.41,0.94,2.58,0.363,4.41,5.89,0.748
Karl Malone,Jazz,2002-2003,REG,81,35.71,20.58,1.4,6.36,7.75,4.68,1.68,0.38,2.59,2.52,7.35,15.91,0.462,0.04,0.17,0.214,5.85,7.67,0.763
Stephen Jackson,"Warriors, Bobcats",2009-2010,REG,81,38.63,20.58,0.96,3.99,4.95,3.7,1.63,0.53,3.2,2.43,7.41,17.51,0.423,1.59,4.85,0.328,4.17,5.36,0.779
Kevin Martin,"Kings, Rockets",2009-2010,REG,46,35.5,20.57,0.63,2.93,3.57,2.41,1,0.13,2,2.09,6.28,15.07,0.417,1.52,4.57,0.333,6.48,7.39,0.876
Deron Williams,Nets,2012-2013,POFF,7,41.73,20.57,0.14,3,3.14,8.43,1,0.57,3,2.43,6.43,15.14,0.425,2.43,6.14,0.395,5.29,6.43,0.822
Tony Parker,Spurs,2012-2013,POFF,21,36.42,20.57,0.67,2.57,3.24,6.95,1.14,0.14,2.52,1.24,7.95,17.38,0.458,0.52,1.48,0.355,4.14,5.33,0.777
Vince Carter,Raptors,2002-2003,REG,43,34.23,20.56,1.37,3,4.37,3.33,1.12,0.95,1.72,2.81,8.26,17.67,0.467,1.05,3.05,0.344,3,3.72,0.806
Dwight Howard,Magic,2008-2009,REG,79,35.71,20.56,4.25,9.58,13.84,1.42,0.97,2.92,3.04,3.42,7.09,12.39,0.572,0,0.03,0,6.38,10.75,0.594
Jamal Crawford,Knicks,2007-2008,REG,80,39.87,20.56,0.46,2.13,2.59,4.98,1.01,0.21,2.4,1.8,7.13,17.39,0.41,2.2,6.18,0.356,4.11,4.76,0.864
Brook Lopez,Nets,2015-2016,REG,73,33.65,20.56,2.81,5.05,7.86,2.01,0.79,1.7,2.4,2.95,8.1,15.86,0.51,0.03,0.19,0.143,4.34,5.52,0.787
Eric Gordon,Hornets,2011-2012,REG,9,34.49,20.56,0.22,2.56,2.78,3.44,1.44,0.44,2.67,2.22,7,15.56,0.45,1.11,4.44,0.25,5.44,7.22,0.754
Antawn Jamison,Wizards,2005-2006,REG,82,40.1,20.54,2.04,7.29,9.33,1.93,1.1,0.15,1.67,2.3,8.05,18.22,0.442,1.79,4.55,0.394,2.65,3.62,0.731
Danny Granger,Pacers,2010-2011,REG,79,34.98,20.53,1.1,4.28,5.38,2.57,1.13,0.78,2.61,2.7,6.77,15.95,0.425,1.99,5.15,0.386,5,5.9,0.848
Elton Brand,Clippers,2006-2007,REG,80,38.47,20.53,3.35,5.95,9.3,2.94,0.96,2.24,2.53,2.98,8.06,15.14,0.533,0.01,0.01,1,4.39,5.76,0.761
Jalen Rose,Pacers,2000-2001,REG,72,40.93,20.53,0.51,4.47,4.99,6.04,0.9,0.6,2.93,3.19,7.88,17.25,0.457,0.82,2.42,0.339,3.96,4.78,0.828
Shareef Abdur-Rahim,Grizzlies,2000-2001,REG,81,40.02,20.53,2.16,6.91,9.07,3.09,1.11,0.95,2.85,2.94,7.46,15.8,0.472,0.15,0.79,0.187,5.47,6.56,0.834
Shawn Kemp,Cavaliers,1998-1999,REG,42,35.05,20.52,3.12,6.12,9.24,2.4,1.14,1.07,3.02,3.79,6.6,13.69,0.482,0.02,0.05,0.5,7.31,9.26,0.789
Rashard Lewis,SuperSonics,2004-2005,REG,71,38.04,20.52,1.55,3.92,5.46,1.32,1.06,0.87,1.73,2.23,7.49,16.21,0.462,2.44,6.08,0.4,3.1,3.99,0.777
Anfernee Hardaway,Magic,1996-1997,REG,59,37.64,20.51,1.39,3.07,4.46,5.63,1.59,0.59,2.46,2.08,7.14,15.95,0.447,1.44,4.53,0.318,4.8,5.85,0.82
Kirk Hinrich,Bulls,2005-2006,POFF,6,39.05,20.5,0,3.33,3.33,7.67,1.33,0.33,4,3.67,6.5,15.67,0.415,1.5,4.33,0.346,6,7,0.857
Russell Westbrook,Thunder,2009-2010,POFF,6,35.39,20.5,1.67,4.33,6,6,1.67,0.17,2.33,2.17,7.17,15.17,0.473,0.83,2,0.417,5.33,6.33,0.842
Antoine Walker,Celtics,1999-2000,REG,82,36.65,20.49,2.43,5.52,7.95,3.72,1.43,0.39,3.16,3.21,7.9,18.37,0.43,0.89,3.48,0.256,3.79,5.43,0.699
Metta World Peace,Kings,2007-2008,REG,57,38.11,20.49,1.77,3.98,5.75,3.49,2.33,0.67,2.6,2.79,7.65,16.88,0.453,1.47,3.88,0.38,3.72,5.18,0.719
Paul Pierce,Celtics,2008-2009,REG,81,37.47,20.47,0.69,4.95,5.64,3.63,0.99,0.33,2.81,2.65,6.67,14.58,0.457,1.47,3.75,0.391,5.67,6.83,0.83
CJ McCollum,Trail Blazers,2015-2016,POFF,11,40.22,20.45,0.64,3,3.64,3.27,0.91,0.45,1.82,2.73,7.64,17.91,0.426,1.82,5.27,0.345,3.36,4.18,0.804
Monta Ellis,Mavericks,2013-2014,POFF,7,35.6,20.43,0.86,1.57,2.43,2.86,1.29,0.14,2.14,2.71,7.43,18.14,0.409,1.71,4.86,0.353,3.86,4.43,0.871
Jalen Rose,"Pacers, Bulls",2001-2002,REG,83,37.7,20.43,0.52,3.98,4.49,4.28,0.94,0.54,2.42,3.02,7.99,17.57,0.455,1.07,2.96,0.362,3.39,4.04,0.839
Gary Payton,"SuperSonics, Bucks",2002-2003,REG,80,39.6,20.43,0.99,3.19,4.18,8.29,1.66,0.25,2.34,2.26,8.31,18.33,0.454,0.68,2.28,0.297,3.13,4.4,0.71
Stephon Marbury,Suns,2001-2002,REG,82,38.85,20.41,0.91,2.33,3.24,8.12,0.94,0.16,3.46,2.27,7.62,17.23,0.442,0.87,3.02,0.286,4.3,5.51,0.781
Hakeem Olajuwon,Rockets,1997-1998,POFF,5,38.09,20.4,1.8,9,10.8,2.4,1,3.2,2.6,3.6,7.8,19.8,0.394,0,0.2,0,4.8,6.6,0.727
Baron Davis,Hornets,2002-2003,POFF,5,38.84,20.4,0.8,2.8,3.6,8.4,1.4,0.4,3,4,7.4,16.6,0.446,2.4,7,0.343,3.2,4.4,0.727
Ben Gordon,Bulls,2006-2007,POFF,10,39.52,20.4,0.9,2.9,3.8,3.8,0.9,0.1,3.4,3.4,6.1,14.7,0.415,2.4,5.5,0.436,5.8,6.3,0.921
Brook Lopez,Nets,2010-2011,REG,82,35.23,20.4,2.4,3.55,5.95,1.57,0.57,1.46,2.15,2.93,7.85,15.96,0.492,0,0.01,0,4.7,5.96,0.787
Dirk Nowitzki,Mavericks,2015-2016,POFF,5,34.01,20.4,0.6,4.4,5,1.6,0.4,0.6,1.4,1.8,8.2,16.6,0.494,0.8,2.2,0.364,3.2,3.4,0.941
Eric Bledsoe,Suns,2015-2016,REG,31,34.15,20.39,0.58,3.45,4.03,6.13,2.03,0.61,3.58,2.42,7.19,15.87,0.453,1.55,4.16,0.372,4.45,5.55,0.802
Richard Hamilton,Pistons,2005-2006,POFF,18,38.33,20.39,0.89,2,2.89,2.67,0.94,0.28,2.17,3.28,7.11,17.22,0.413,0.78,2.22,0.35,5.39,6.33,0.851
Peja Stojakovic,Kings,2000-2001,REG,75,38.74,20.39,1.24,4.55,5.79,2.19,1.21,0.17,1.95,1.92,7.45,15.85,0.47,1.92,4.8,0.4,3.56,4.16,0.856
Amar'e Stoudemire,Suns,2006-2007,REG,82,32.8,20.38,2.71,6.88,9.59,1.02,0.95,1.34,2.83,3.6,7.4,12.87,0.575,0,0.04,0,5.57,7.13,0.781
Kevin Garnett,Celtics,2007-2008,POFF,26,37.95,20.38,2.77,7.77,10.54,3.35,1.35,1.12,2.12,2.85,8.35,16.85,0.495,0.08,0.31,0.25,3.62,4.46,0.81
Monta Ellis,"Warriors, Bucks",2011-2012,REG,58,36.56,20.36,0.34,3.1,3.45,5.97,1.47,0.31,3.05,2.34,7.76,17.93,0.433,1.07,3.47,0.308,3.78,4.74,0.796
Pau Gasol,Grizzlies,2005-2006,REG,80,39.19,20.35,2.39,6.53,8.91,4.64,0.58,1.91,2.94,2.3,7.5,14.93,0.503,0.04,0.15,0.25,5.31,7.71,0.689
Shawn Marion,Suns,2005-2006,POFF,20,42.45,20.35,2.85,8.8,11.65,1.55,1.85,1.15,1.1,3.25,8.15,16.65,0.489,1.1,3.5,0.314,2.95,3.35,0.881
Steve Nash,Suns,2005-2006,POFF,20,39.88,20.35,0.45,3.2,3.65,10.2,0.4,0.25,3.35,1.9,7.3,14.55,0.502,1.6,4.35,0.368,4.15,4.55,0.912
Allan Houston,Knicks,2001-2002,REG,77,37.84,20.35,0.48,2.79,3.27,2.47,0.7,0.13,2.21,2.36,7.38,16.9,0.437,1.77,4.49,0.393,3.83,4.4,0.87
Isaiah Thomas,Kings,2013-2014,REG,72,34.68,20.35,0.65,2.26,2.92,6.31,1.29,0.11,2.96,2.57,6.89,15.22,0.453,1.76,5.06,0.349,4.81,5.65,0.85
Latrell Sprewell,Knicks,1998-1999,POFF,20,37.1,20.35,1.2,3.6,4.8,2.15,0.95,0.3,2.9,2,7.25,17.3,0.419,0.2,1.25,0.16,5.65,6.65,0.85
Caron Butler,Wizards,2007-2008,REG,58,39.9,20.34,1.6,5.09,6.69,4.9,2.21,0.34,2.59,2.76,7.57,16.26,0.466,1.14,3.19,0.357,4.07,4.52,0.901
Anfernee Hardaway,Suns,1999-2000,POFF,9,42.83,20.33,1.56,3.33,4.89,5.67,1.56,1,2.78,3.22,7.44,16.11,0.462,0.56,2.11,0.263,4.89,6.89,0.71
Tim Duncan,Spurs,2004-2005,REG,66,33.41,20.33,3.06,8.03,11.09,2.71,0.68,2.64,1.92,2.18,7.83,15.79,0.496,0.05,0.14,0.334,4.62,6.89,0.67
Chauncey Billups,Nuggets,2009-2010,POFF,6,34.53,20.33,0.17,2.17,2.33,6.33,1,0.5,3,4,6.17,13.83,0.446,1.83,5.17,0.355,6.17,7,0.881
Derrick Rose,Bulls,2014-2015,POFF,12,37.8,20.33,1.08,3.75,4.83,6.5,1.17,0.5,3.17,1.83,7.75,19.58,0.396,1.92,5.5,0.348,2.92,3.25,0.897
Jeff Green,Celtics,2012-2013,POFF,6,43,20.33,1,4.33,5.33,2.33,0.33,0.67,3.17,3.67,6.17,14.17,0.435,1.67,3.67,0.455,6.33,7.5,0.844
Tony Parker,Spurs,2012-2013,REG,66,32.94,20.32,0.27,2.73,3,7.56,0.82,0.09,2.58,1.39,7.86,15.08,0.522,0.36,1.03,0.353,4.23,5,0.845
Tim Hardaway,Heat,1996-1997,REG,81,38.77,20.3,0.6,2.8,3.41,8.58,1.86,0.11,2.84,2.04,7.1,17.09,0.415,2.51,7.28,0.344,3.59,4.49,0.799
Kevin Durant,SuperSonics,2007-2008,REG,80,34.6,20.3,0.88,3.48,4.35,2.4,0.98,0.94,2.9,1.53,7.34,17.08,0.43,0.74,2.56,0.288,4.89,5.6,0.873
Dwight Howard,Magic,2008-2009,POFF,23,39.23,20.3,4.3,11.04,15.35,1.87,0.87,2.61,2.91,4.43,7,11.65,0.601,0,0.09,0,6.3,9.91,0.636
Mike James,Raptors,2005-2006,REG,79,37.02,20.3,0.57,2.75,3.32,5.82,0.91,0.04,2.61,2.71,7.29,15.54,0.469,2.14,4.84,0.442,3.58,4.28,0.837
Goran Dragic,Suns,2013-2014,REG,76,35.11,20.29,0.91,2.32,3.22,5.88,1.37,0.29,2.8,2.71,7.26,14.38,0.505,1.61,3.93,0.408,4.16,5.47,0.76
Kawhi Leonard,Spurs,2014-2015,POFF,7,35.77,20.29,1.86,5.57,7.43,2.57,1.14,0.57,2.14,2.57,7.43,15.57,0.477,1.57,3.71,0.423,3.86,5,0.771
Shareef Abdur-Rahim,Grizzlies,1999-2000,REG,82,39.31,20.28,2.66,7.4,10.06,3.3,1.09,1.06,3.04,2.98,7.24,15.57,0.465,0.35,1.17,0.302,5.44,6.72,0.809
Derrick Coleman,Hornets,1999-2000,POFF,4,42.06,20.25,2.5,10,12.5,3.5,0.75,3,3.25,2.75,6.75,14.25,0.474,1.25,4,0.313,5.5,7,0.786
Mike Bibby,Kings,2001-2002,POFF,16,41.27,20.25,0.88,2.88,3.75,5,1.44,0.19,2.31,1.88,7.13,16.06,0.444,1.56,3.69,0.424,4.44,5.38,0.826
Pau Gasol,Grizzlies,2005-2006,POFF,4,39.45,20.25,1,5.75,6.75,3,0.5,1.25,2.75,2.75,7.25,16.75,0.433,0,0.25,0,5.75,7.5,0.767
David Lee,Knicks,2009-2010,REG,81,37.27,20.25,2.81,8.9,11.72,3.64,1.05,0.49,2.33,3.17,8.47,15.53,0.545,0,0.1,0,3.31,4.07,0.812
DeMar DeRozan,Raptors,2014-2015,POFF,4,39.67,20.25,1.25,5,6.25,5.75,1.5,0,2.5,3,8,20,0.4,0.75,2,0.375,3.5,4.25,0.824
Chris Webber,Sixers,2005-2006,REG,75,38.57,20.24,2.45,7.43,9.88,3.41,1.37,0.83,2.43,2.92,8.23,18.96,0.434,0.28,1.03,0.273,3.51,4.64,0.756
Stephon Marbury,"Suns, Knicks",2003-2004,REG,81,40.19,20.23,0.72,2.53,3.25,8.88,1.59,0.11,3.07,2.12,7.38,17.11,0.431,1.07,3.38,0.318,4.4,5.38,0.817
Kevin Martin,Kings,2006-2007,REG,80,35.23,20.23,0.86,3.41,4.28,2.16,1.23,0.14,1.69,2.26,6.31,13.34,0.473,1.59,4.16,0.381,6.01,7.13,0.844
Reggie Miller,Pacers,1998-1999,POFF,13,36.98,20.23,1,2.92,3.92,2.62,0.69,0.23,1.62,2,6.08,15.31,0.397,2.15,6.46,0.333,5.92,6.62,0.895
Kevin Love,Timberwolves,2010-2011,REG,73,35.76,20.22,4.52,10.71,15.23,2.52,0.62,0.38,2.12,2.03,6.6,14.05,0.47,1.21,2.89,0.417,5.81,6.84,0.85
Scottie Pippen,Bulls,1996-1997,REG,82,37.74,20.2,1.95,4.52,6.48,5.7,1.88,0.55,2.61,2.6,7.9,16.66,0.474,1.9,5.17,0.368,2.49,3.55,0.701
Monta Ellis,Warriors,2007-2008,REG,81,37.92,20.2,1.64,3.35,4.99,3.89,1.53,0.33,2.14,2.41,8.05,15.15,0.531,0.15,0.64,0.231,3.95,5.15,0.767
Deron Williams,Jazz,2008-2009,POFF,5,42.14,20.2,0.8,3,3.8,10.8,1.8,0.4,4.2,3.4,5.8,14,0.414,1.8,5,0.36,6.8,8.2,0.829
Michael Finley,Mavericks,1998-1999,REG,50,41.09,20.18,1.38,3.88,5.26,4.36,1.32,0.3,2.14,1.92,7.78,17.52,0.444,0.9,2.72,0.331,3.72,4.52,0.823
Tim Duncan,Spurs,2007-2008,POFF,17,39.17,20.18,3.59,10.94,14.53,3.29,0.88,2.06,2.41,2.41,7.94,17.71,0.449,0.06,0.29,0.2,4.24,6.76,0.626
Damon Stoudamire,Raptors,1996-1997,REG,81,40.95,20.17,1.06,3.01,4.07,8.75,1.52,0.16,3.56,2,6.96,17.37,0.401,2.17,6.12,0.355,4.07,4.95,0.823
Joe Johnson,Hawks,2005-2006,REG,82,40.73,20.16,1.2,2.89,4.09,6.54,1.26,0.38,3.26,2.28,7.71,17.01,0.453,1.56,4.39,0.356,3.18,4.02,0.791
Rudy Gay,Grizzlies,2007-2008,REG,81,37.03,20.15,1.73,4.43,6.16,1.95,1.37,0.98,2.35,2.84,7.72,16.73,0.461,1.65,4.78,0.346,3.06,3.9,0.785
Elton Brand,Bulls,2000-2001,REG,74,39.31,20.14,3.85,6.23,10.08,3.24,0.96,1.59,2.96,3.28,7.81,16.43,0.475,0,0.04,0,4.51,6.38,0.708
Tyreke Evans,Kings,2009-2010,REG,72,37.18,20.14,0.92,4.36,5.28,5.75,1.51,0.36,3,2.83,7.4,16.18,0.458,0.5,1.96,0.255,4.83,6.46,0.748
Deron Williams,"Jazz, Nets",2010-2011,REG,65,37.92,20.14,0.62,3.38,4,10.26,1.22,0.23,3.54,2.92,6.58,15,0.439,1.62,4.88,0.331,5.35,6.34,0.845
Peja Stojakovic,Kings,2004-2005,REG,66,38.48,20.14,0.94,3.38,4.32,2.09,1.2,0.18,1.55,2.38,6.83,15.39,0.444,2.64,6.56,0.402,3.83,4.17,0.92
Tony Parker,Spurs,2011-2012,POFF,14,36.15,20.14,0.57,3,3.57,6.79,0.93,0,3.14,1.64,7.29,16.07,0.453,0.5,1.5,0.333,5.07,6.29,0.807
Kevin Johnson,"Heat, Suns",1996-1997,REG,70,37.94,20.14,0.77,2.84,3.61,9.33,1.46,0.17,3.1,2.01,6.3,12.71,0.496,1.27,2.89,0.441,6.27,7.36,0.852
Antoine Walker,Celtics,2002-2003,REG,78,41.49,20.13,1.27,5.95,7.22,4.78,1.49,0.4,3.33,2.83,7.73,19.92,0.388,2.41,7.46,0.323,2.26,3.67,0.615
David Lee,Warriors,2011-2012,REG,57,37.21,20.12,3,6.56,9.56,2.84,0.95,0.39,2.61,3.14,8.14,16.18,0.503,0,0.09,0,3.84,4.91,0.782
Al Harrington,"Warriors, Knicks",2008-2009,REG,73,34.88,20.12,1.36,4.88,6.23,1.4,1.21,0.3,2.21,3.11,7.29,16.6,0.439,2.34,6.44,0.364,3.21,4.04,0.793
Richard Hamilton,Pistons,2005-2006,REG,80,35.31,20.11,1.05,2.15,3.2,3.44,0.65,0.2,2.16,2.59,8.11,16.53,0.491,0.69,1.5,0.458,3.2,3.79,0.845
Jamal Mashburn,Hornets,2000-2001,REG,76,39.37,20.11,1.21,6.37,7.58,5.41,1.12,0.17,2.78,2.43,7.54,18.26,0.413,1.36,3.8,0.356,3.67,4.79,0.766
Rashard Lewis,SuperSonics,2005-2006,REG,78,36.87,20.1,1.42,3.58,5,2.33,1.31,0.64,1.81,2.45,6.9,14.76,0.467,1.82,4.74,0.384,4.49,5.49,0.818
Jason Kidd,Nets,2002-2003,POFF,20,42.59,20.1,1.8,5.9,7.7,8.15,1.8,0.2,3.95,2.3,6.85,17.05,0.402,1.7,5.2,0.327,4.7,5.7,0.825
Elton Brand,Bulls,1999-2000,REG,81,37.01,20.09,4.3,5.7,10,1.91,0.81,1.63,2.81,3.2,7.78,16.12,0.482,0,0.02,0,4.53,6.62,0.685
Alonzo Mourning,Heat,1998-1999,REG,46,38.13,20.09,3.61,7.41,11.02,1.61,0.74,3.91,3.02,3.5,7.04,13.76,0.512,0,0.04,0,6,9.2,0.652
Jermaine O'Neal,Pacers,2003-2004,REG,78,35.77,20.08,2.47,7.5,9.97,2.1,0.76,2.55,2.32,3.18,7.79,17.95,0.434,0.03,0.23,0.111,4.46,5.9,0.757
Eddie Jones,Hornets,1999-2000,REG,72,38.91,20.08,1.13,3.64,4.76,4.24,2.67,0.68,2.22,2.44,6.64,15.54,0.427,1.78,4.74,0.375,5.03,5.82,0.864
Jermaine O'Neal,Pacers,2005-2006,REG,51,35.34,20.08,2,7.33,9.33,2.61,0.53,2.29,2.96,3.47,7.45,15.78,0.472,0.06,0.2,0.3,5.12,7.22,0.709
Stephen Jackson,Warriors,2007-2008,REG,73,39.11,20.08,0.92,3.44,4.36,4.11,1.26,0.4,2.7,2.34,6.68,16.49,0.405,2.49,6.86,0.363,4.22,5.07,0.832
Tom Gugliotta,Timberwolves,1997-1998,REG,41,38.52,20.07,2.59,6.1,8.68,4.07,1.49,0.54,2.66,2.49,7.78,15.49,0.502,0.05,0.41,0.118,4.46,5.44,0.821
Chris Webber,Bullets,1996-1997,REG,72,38.96,20.07,3.31,7.01,10.32,4.6,1.69,1.9,3.19,3.58,8.39,16.21,0.518,0.83,2.1,0.397,2.46,4.35,0.565
Steven Smith,Hawks,1996-1997,REG,72,39.15,20.07,1.25,2.06,3.31,4.24,0.86,0.32,2.44,2.4,6.82,15.9,0.429,1.81,5.39,0.335,4.63,5.46,0.847
DeMar DeRozan,Raptors,2014-2015,REG,60,35.01,20.07,0.68,3.93,4.62,3.5,1.22,0.18,2.28,2.03,6.82,16.5,0.413,0.42,1.47,0.284,6.02,7.23,0.832
Zach Randolph,Trail Blazers,2003-2004,REG,81,37.88,20.07,2.99,7.52,10.51,2.01,0.84,0.51,3.05,2.8,8.19,16.89,0.485,0.01,0.06,0.199,3.69,4.85,0.761
Baron Davis,Warriors,2006-2007,REG,63,35.25,20.06,0.81,3.57,4.38,8.08,2.14,0.46,3.06,2.87,7.17,16.35,0.439,1.35,4.44,0.304,4.37,5.86,0.745
Zach Randolph,Grizzlies,2010-2011,REG,75,36.31,20.05,4.35,7.84,12.19,2.17,0.84,0.33,2.01,2.33,7.97,15.84,0.503,0.11,0.57,0.186,4,5.28,0.758
Steven Smith,Hawks,1997-1998,REG,73,39.11,20.05,1.82,2.41,4.23,4,1.01,0.4,2.41,3,6.7,15.08,0.444,1.33,3.78,0.351,5.33,6.23,0.855
Richard Hamilton,Pistons,2004-2005,POFF,25,43.25,20.04,1.2,3.12,4.32,4.28,0.84,0.12,3.12,3.16,7.92,17.48,0.453,0.4,1.36,0.294,3.8,4.76,0.798
Elton Brand,Clippers,2004-2005,REG,81,36.58,20.02,3.65,5.85,9.51,2.57,0.77,2.09,2.26,2.96,7.77,15.44,0.503,0,0.04,0,4.49,5.98,0.752
Shaquille O'Neal,Heat,2005-2006,REG,59,30.61,20.02,2.92,6.25,9.17,1.92,0.39,1.76,2.85,3.9,8.14,13.56,0.6,0,0,0,3.75,7.98,0.469
Jimmy Butler,Bulls,2014-2015,REG,65,38.67,20.02,1.75,4.08,5.83,3.26,1.75,0.55,1.43,1.66,6.48,14.03,0.462,1.12,2.97,0.378,5.94,7.12,0.834
Joe Johnson,Hawks,2007-2008,POFF,7,39.32,20,1.29,2.57,3.86,4,0.29,0,2.29,2.29,6.71,16.43,0.409,2.29,5.14,0.444,4.29,4.71,0.909
Anthony Johnson,Pacers,2005-2006,POFF,6,40.28,20,1.33,3.67,5,5.17,1,0,2.33,2.83,7.5,14.5,0.517,1.33,3.33,0.4,3.67,5.5,0.667
Michael Jordan,Wizards,2002-2003,REG,82,36.96,20,0.87,5.2,6.06,3.79,1.5,0.48,2.11,2.09,8.28,18.62,0.445,0.2,0.67,0.291,3.24,3.95,0.821
Karl Malone,Jazz,2001-2002,POFF,4,40.68,20,0.75,6.75,7.5,4.5,1.25,0.75,2.75,2.75,7.5,18.25,0.411,0,0.25,0,5,7,0.714
Richard Hamilton,Wizards,2001-2002,REG,63,34.91,20,1.16,2.27,3.43,2.71,0.6,0.22,2.1,2.16,7.49,17.21,0.435,0.25,0.67,0.381,4.76,5.35,0.89
Wally Szczerbiak,Timberwolves,2001-2002,POFF,3,43.32,20,3,4,7,2,0.67,0,2.67,2.67,7,14.67,0.477,0.67,3,0.222,5.33,6,0.889
Mike Bibby,Kings,2003-2004,POFF,12,41.63,20,0.75,3.42,4.17,7,1.92,0.42,2.92,3.33,7,16.33,0.429,2,4.58,0.436,4,4.58,0.873
Elton Brand,Clippers,2003-2004,REG,69,38.75,19.99,3.9,6.45,10.35,3.29,0.93,2.23,2.8,3.32,7.01,14.23,0.493,0,0.01,0,5.96,7.71,0.773
Tim Duncan,Spurs,2006-2007,REG,80,34.08,19.99,2.66,7.91,10.58,3.41,0.83,2.38,2.8,2.54,7.73,14.14,0.546,0.01,0.11,0.111,4.53,7.1,0.637
Chris Webber,Kings,1998-1999,REG,42,40.96,19.98,3.55,9.43,12.98,4.12,1.43,2.12,3.52,3.43,9,18.52,0.486,0.1,0.81,0.118,1.88,4.14,0.454
Kevin Martin,Timberwolves,2014-2015,REG,39,33.4,19.97,0.49,3.15,3.64,2.28,0.85,0.03,1.95,1.95,6.85,16.05,0.427,1.92,4.92,0.391,4.36,4.95,0.881
Rudy Gay,"Kings, Raptors",2013-2014,REG,73,34.67,19.96,1.55,4.44,5.99,2.86,1.3,0.77,3.07,2.34,7.36,16.15,0.455,0.89,2.7,0.33,4.36,5.3,0.822
Reggie Miller,Pacers,1997-1998,POFF,16,39.28,19.94,0.31,1.44,1.75,2,1.19,0.19,1.69,1.63,6.13,14.38,0.426,2.38,5.94,0.4,5.31,5.88,0.904
Kobe Bryant,Lakers,1998-1999,REG,50,37.88,19.92,1.06,4.22,5.28,3.8,1.44,1,3.14,3.06,7.24,15.58,0.465,0.54,2.02,0.267,4.9,5.84,0.839
Josh Howard,Mavericks,2007-2008,REG,76,36.27,19.91,1.58,5.42,7,2.16,0.78,0.42,1.5,2.66,7.46,16.41,0.455,0.88,2.76,0.319,4.11,5.05,0.813
Stephen Jackson,"Pacers, Warriors",2006-2007,POFF,11,41.23,19.91,0.55,3.09,3.64,3.64,2,0.73,3.73,3.55,5.55,14.64,0.379,2.36,6.55,0.361,6.45,7.91,0.816
Steve Francis,Rockets,2000-2001,REG,80,39.93,19.89,2.38,4.54,6.91,6.46,1.76,0.39,3.31,3.43,6.88,15.24,0.451,1.66,4.2,0.396,4.48,5.48,0.817
Andre Iguodala,76ers,2007-2008,REG,82,39.54,19.88,1.04,4.4,5.44,4.77,2.09,0.6,2.61,2.28,7.1,15.57,0.456,1.23,3.74,0.329,4.45,6.17,0.721
John Wall,Wizards,2015-2016,REG,77,36.16,19.88,0.55,4.36,4.91,10.26,1.88,0.77,4.13,2.06,7.43,17.52,0.424,1.49,4.25,0.352,3.53,4.47,0.791
Alonzo Mourning,Heat,1996-1997,REG,66,35.14,19.85,2.86,7.08,9.94,1.58,0.85,2.86,3.42,4.12,7.17,13.41,0.534,0.02,0.14,0.111,5.5,8.56,0.642
